21200501,00,15,96%,South,<12km/h,3,Sunny
21200501,01,14,97%,North,<12km/h,2,Sunny
21200501,02,13,100%,South,<12km/h,1,Sunny
21200501,03,13,98%,North,<12km/h,1,Sunny
21200501,04,13,100%,Southwest,<12km/h,1,Sunny
21200501,05,14,100%,Southwest,<12km/h,2,Sunny
21200501,06,14,100%,Southwest,<12km/h,2,Cloudy
21200501,07,12,99%,South,<12km/h,1,Cloudy
21200501,08,15,100%,Southwest,<12km/h,1,Cloudy
21200501,09,17,85%,Northwest,<12km/h,2,Cloudy
21200501,10,18,84%,North,<12km/h,1,Cloudy
21200501,11,20,70%,Northeast,<12km/h,2,Cloudy
21200501,12,21,59%,North,<12km/h,2,Cloudy
21200501,13,21,56%,North,<12km/h,2,Sunny
21200501,14,21,54%,Northeast,<12km/h,2,Cloudy
21200501,15,22,54%,Northeast,<12km/h,2,Sunny
21200501,16,20,59%,North,<12km/h,3,Cloudy
21200501,17,19,60%,North,<12km/h,3,Cloudy
21200501,18,19,62%,North,<12km/h,3,Cloudy
21200501,19,18,66%,North,<12km/h,3,Cloudy
21200501,20,17,70%,North,<12km/h,3,Cloudy
21200501,21,18,75%,North,<12km/h,1,Cloudy
21200501,22,15,82%,North,<12km/h,1,Cloudy
21200501,23,17,94%,East,<12km/h,1,Sunny
21200502,00,16,79%,North,<12km/h,3,Overcast
21200502,01,16,94%,Southwest,<12km/h,1,Overcast
21200502,02,15,96%,Quiet,,0,Overcast
21200502,03,17,81%,Southeast,<12km/h,2,Overcast
21200502,04,16,86%,Northeast,16-24km/h,4,Overcast
21200502,05,16,99%,Southwest,<12km/h,1,Overcast
21200502,06,15,87%,Northeast,<12km/h,3,Overcast
21200502,07,15,95%,North,<12km/h,3,Overcast
21200502,08,17,95%,Northwest,<12km/h,2,Overcast
21200502,09,17,89%,Northwest,<12km/h,2,Overcast
21200502,10,18,74%,North,<12km/h,3,Overcast
21200502,11,17,82%,Northwest,<12km/h,2,Overcast
21200502,12,17,81%,Northwest,<12km/h,1,Overcast
21200502,13,17,88%,Northwest,<12km/h,2,Overcast
21200502,14,17,79%,North,<12km/h,2,Cloudy
21200502,15,16,90%,North,<12km/h,1,Overcast
21200502,16,18,66%,West,<12km/h,1,Overcast
