21200501,00,15,81%,Northeast,16-24km/h,4,Sunny
21200501,01,15,82%,Northwest,<12km/h,1,Sunny
21200501,02,14,,,,<3,Cloudy
21200501,03,13,93%,North,<12km/h,1,Sunny
21200501,04,14,95%,North,<12km/h,1,Sunny
21200501,05,12,92%,Northeast,<12km/h,2,Sunny
21200501,06,11,96%,Northeast,<12km/h,3,Cloudy
21200501,07,12,96%,West,<12km/h,1,Cloudy
21200501,08,22,,,,<3,Cloudy
21200501,09,15,80%,Northeast,16-24km/h,4,Overcast
21200501,10,22,,,,<3,Cloudy
21200501,11,20,64%,North,<12km/h,2,Sunny
21200501,12,21,56%,Quiet,,0,Cloudy
21200501,13,22,,,,<3,Cloudy
21200501,14,21,50%,Northeast,24-34km/h,5,Sunny
21200501,15,21,48%,South,24-34km/h,5,Sunny
21200501,16,22,,,,<3,Cloudy
21200501,17,19,57%,Northeast,<12km/h,3,Sunny
21200501,18,18,61%,North,<12km/h,3,Sunny
21200501,19,15,67%,North,<12km/h,3,Sunny
21200501,20,15,68%,North,<12km/h,3,Cloudy
21200501,21,17,66%,North,<12km/h,2,Cloudy
21200501,22,14,73%,Quiet,,0,Cloudy
21200501,23,16,71%,West,16-24km/h,4,Sunny
21200502,00,15,83%,North,<12km/h,3,Overcast
21200502,01,14,,,,<3,Overcast
21200502,02,14,86%,Northeast,<12km/h,2,Overcast
21200502,03,15,84%,Northeast,<12km/h,2,Overcast
21200502,04,15,78%,South,<12km/h,2,Cloudy
21200502,05,14,,,,<3,Overcast
21200502,06,20,,,,<3,Lightrain
21200502,07,15,80%,North,<12km/h,3,Overcast
21200502,08,20,,,,<3,Lightrain
21200502,09,15,78%,Northeast,<12km/h,2,Overcast
21200502,10,20,,,,<3,Lightrain
21200502,11,20,,,,<3,Lightrain
21200502,12,17,76%,North,<12km/h,2,Overcast
21200502,13,18,59%,Northeast,<12km/h,2,Overcast
21200502,14,18,64%,North,<12km/h,2,Overcast
21200502,15,17,68%,North,<12km/h,2,Cloudy
21200502,16,17,70%,North,<12km/h,2,Overcast
21200502,17,17,64%,North,<12km/h,1,Cloudy
21200502,18,16,74%,North,<12km/h,1,Cloudy
21200502,19,13,85%,Southeast,<12km/h,2,Sunny
21200502,20,14,76%,Northeast,<12km/h,1,Sunny
21200502,21,12,,,,<3,Sunny
21200502,22,12,,,,<3,Sunny
21200502,23,12,92%,Southwest,<12km/h,1,Cloudy
21200503,00,12,,,,<3,Sunny
21200503,01,15,77%,Northeast,<12km/h,2,Sunny
21200503,02,14,78%,Northeast,<12km/h,2,Cloudy
21200503,03,13,81%,North,<12km/h,2,Cloudy
21200503,04,10,95%,Southeast,<12km/h,2,Cloudy
21200503,05,10,95%,Quiet,,0,Cloudy
21200503,06,11,88%,South,<12km/h,1,Sunny
21200503,07,11,87%,Northwest,<12km/h,2,Sunny
21200503,08,18,,,,<3,Sunny
21200503,09,15,65%,Northeast,<12km/h,2,Sunny
21200503,10,15,66%,North,<12km/h,2,Sunny
21200503,11,17,63%,North,<12km/h,3,Overcast
21200503,12,17,55%,Northeast,<12km/h,2,Sunny
21200503,13,18,50%,East,<12km/h,2,Sunny
21200503,14,18,45%,North,<12km/h,2,Sunny
21200503,15,18,49%,North,<12km/h,2,Sunny
21200503,16,18,,,,<3,Sunny
21200503,17,18,,,,<3,Sunny
21200503,18,14,67%,East,<12km/h,1,Sunny
21200503,19,13,73%,Quiet,,0,Sunny
21200503,20,11,80%,South,<12km/h,1,Sunny
21200503,21,11,74%,Northwest,<12km/h,1,Sunny
21200503,22,10,84%,Southeast,<12km/h,1,Sunny
21200503,23,10,89%,Southwest,<12km/h,1,Sunny
21200504,00,13,65%,Southwest,<12km/h,1,Sunny
21200504,01,10,86%,South,<12km/h,1,Sunny
21200504,02,9,90%,Southwest,<12km/h,1,Sunny
21200504,03,9,91%,West,<12km/h,1,Sunny
21200504,04,10,,Southeast,,<3,Sunny
21200504,05,8,87%,Quiet,,0,Sunny
21200504,06,8,94%,Quiet,,0,Sunny
21200504,07,9,88%,South,<12km/h,1,Sunny
21200504,08,22,,Southeast,,<3,Sunny
21200504,09,22,,Southeast,,<3,Sunny
21200504,10,18,47%,South,<12km/h,1,Sunny
21200504,11,21,25%,Southeast,<12km/h,1,Sunny
21200504,12,22,20%,North,<12km/h,1,Sunny
21200504,13,23,20%,East,<12km/h,1,Sunny
21200504,14,22,23%,Northeast,<12km/h,2,Sunny
21200504,15,24,19%,North,<12km/h,1,Sunny
21200504,16,21,24%,Northeast,<12km/h,2,Sunny
21200504,17,19,30%,Northeast,<12km/h,1,Sunny
21200504,18,16,43%,Quiet,,0,Sunny
21200504,19,14,46%,South,<12km/h,1,Sunny
21200504,20,15,45%,South,<12km/h,1,Sunny
21200504,21,15,39%,East,<12km/h,2,Sunny
21200504,22,12,,Southeast,,<3,Overcast
21200504,23,12,,Southeast,,<3,Overcast
21200505,00,13,61%,South,<12km/h,2,Sunny
21200505,01,12,,Southeast,,<3,Overcast
21200505,02,12,,Southeast,,<3,Overcast
21200505,03,13,52%,Northwest,<12km/h,1,Cloudy
21200505,04,12,60%,Northeast,<12km/h,1,Cloudy
21200505,05,14,64%,East,<12km/h,1,Cloudy
21200505,06,14,68%,East,<12km/h,2,Overcast
21200505,07,14,69%,North,<12km/h,1,Overcast
21200505,08,15,67%,East,<12km/h,2,Cloudy
21200505,09,16,61%,South,<12km/h,1,Cloudy
21200505,10,17,51%,Southwest,<12km/h,1,Cloudy
21200505,11,17,55%,North,<12km/h,1,Overcast
21200505,12,18,47%,South,<12km/h,2,Overcast
21200505,13,18,48%,North,<12km/h,1,Overcast
21200505,14,18,48%,Quiet,,0,Overcast
21200505,15,18,53%,Southeast,<12km/h,2,Cloudy
21200505,16,20,,Southeast,,<3,Overcast
21200505,17,17,56%,Quiet,,0,Cloudy
21200505,18,17,61%,Southeast,<12km/h,1,Cloudy
21200505,19,17,57%,Southeast,<12km/h,1,Cloudy
21200505,20,14,,,,<3,Overcast
