21200501,00,15,96%,North,<12km/h,1,Sunny
21200501,01,13,,,,<3,Sunny
21200501,02,14,97%,North,<12km/h,2,Sunny
21200501,03,15,92%,West,<12km/h,1,Sunny
21200501,04,16,90%,West,<12km/h,1,Sunny
21200501,05,13,98%,North,<12km/h,1,Sunny
21200501,06,12,100%,Southwest,<12km/h,1,Sunny
21200501,07,15,94%,North,<12km/h,2,Sunny
21200501,08,17,89%,Quiet,,0,Sunny
21200501,09,18,65%,Northeast,24-34km/h,5,Sunny
21200501,10,21,53%,Northeast,<12km/h,2,Sunny
21200501,11,22,42%,North,<12km/h,2,Sunny
21200501,12,21,49%,North,<12km/h,2,Sunny
21200501,13,25,39%,East,<12km/h,3,Sunny
21200501,14,21,42%,North,<12km/h,3,Sunny
21200501,15,24,47%,East,<12km/h,3,Sunny
21200501,16,23,61%,North,16-24km/h,4,Sunny
21200501,17,22,67%,North,16-24km/h,4,Sunny
21200501,18,21,72%,North,16-24km/h,4,Sunny
21200501,19,20,77%,North,16-24km/h,4,Sunny
21200501,20,18,76%,North,16-24km/h,4,Sunny
21200501,21,19,59%,North,<12km/h,1,Sunny
21200501,22,14,77%,North,<12km/h,1,Cloudy
21200501,23,17,83%,North,<12km/h,1,Sunny
21200502,00,17,86%,North,<12km/h,1,Overcast
21200502,01,14,,,,<3,Overcast
21200502,02,17,88%,Northeast,<12km/h,1,Cloudy
21200502,03,15,88%,South,<12km/h,3,Cloudy
21200502,04,16,92%,North,<12km/h,2,Cloudy
21200502,05,17,83%,North,<12km/h,1,Cloudy
21200502,06,18,77%,Northeast,24-34km/h,5,Overcast
21200502,07,18,76%,Northeast,<12km/h,2,Cloudy
21200502,08,18,78%,Northwest,<12km/h,1,Cloudy
21200502,09,18,86%,Northwest,<12km/h,2,Cloudy
21200502,10,17,95%,North,<12km/h,1,Overcast
21200502,11,17,86%,Northeast,<12km/h,1,Cloudy
21200502,12,19,72%,Northeast,<12km/h,2,Overcast
21200502,13,18,78%,Quiet,,0,Cloudy
21200502,14,20,66%,North,<12km/h,2,Cloudy
