zoneid,tsfout,tsfin,tsfpair
0,42.40000000000003,41.90000000000001,42.15000000000002
1,43.00000000000001,43.10000000000001,43.05000000000001
2,3.9000000000000017,3.8000000000000007,3.8500000000000014
4,2.7000000000000006,2.500000000000001,2.6000000000000005
5,0.5,0.5,0.5
6,7.399999999999999,7.099999999999999,7.249999999999998
7,7.0,9.5,8.25
8,0.5,0.5,0.5
9,2.2,3.0000000000000004,2.6000000000000005
10,5.999999999999998,5.699999999999999,5.849999999999999
11,4.599999999999999,5.5,5.049999999999999
12,13.200000000000001,11.100000000000001,12.150000000000002
13,0.6,0.5,0.55
14,0.7,0.8,0.75
15,12.5,13.4,12.95
16,0.9999999999999999,0.7,0.8499999999999999
17,31.600000000000005,31.0,31.300000000000004
18,79.19999999999999,80.19999999999999,79.69999999999999
20,33.80000000000001,34.90000000000002,34.350000000000016
21,21.60000000000001,22.900000000000002,22.250000000000007
22,106.7,106.79999999999997,106.74999999999999
23,311.99999999999994,310.6999999999999,311.3499999999999
24,340.50000000000006,333.6,337.05000000000007
25,166.70000000000002,165.39999999999998,166.05
26,126.40000000000002,127.19999999999997,126.8
27,1428.8000000000002,1425.4,1427.1000000000001
28,626.9999999999998,632.6999999999997,629.8499999999997
29,32.300000000000004,34.1,33.2
30,120.00000000000001,120.49999999999999,120.25
31,284.59999999999997,283.20000000000005,283.9
32,1553.0000000000002,1569.8999999999999,1561.45
33,1389.8999999999992,1363.199999999999,1376.549999999999
34,827.5999999999991,819.1999999999995,823.3999999999993
35,498.80000000000007,502.19999999999976,500.4999999999999
36,829.9999999999993,835.0999999999996,832.5499999999995
37,471.6999999999999,485.99999999999983,478.84999999999985
38,490.0999999999998,501.9999999999998,496.0499999999998
39,88.00000000000003,86.10000000000002,87.05000000000003
40,74.50000000000001,74.39999999999999,74.45
41,82.6,83.4,83.0
42,74.5,72.10000000000002,73.30000000000001
43,475.29999999999967,471.1999999999999,473.2499999999998
44,54.300000000000004,51.8,53.05
45,192.49999999999994,266.90000000000003,229.7
46,78.60000000000001,80.79999999999998,79.69999999999999
47,52.0,50.099999999999994,51.05
48,214.20000000000002,213.6,213.9
49,560.5000000000001,554.3999999999999,557.45
50,158.79999999999995,159.7999999999999,159.29999999999993
51,217.09999999999988,209.19999999999987,213.14999999999986
52,122.30000000000001,121.20000000000003,121.75000000000003
53,321.9000000000001,310.80000000000007,316.3500000000001
54,343.6000000000001,347.20000000000016,345.4000000000001
55,347.6000000000001,351.40000000000003,349.50000000000006
56,26.799999999999997,25.700000000000003,26.25
57,696.8000000000005,685.5000000000006,691.1500000000005
58,211.09999999999994,214.99999999999994,213.04999999999995
59,228.59999999999997,227.8,228.2
60,526.0999999999999,520.3,523.1999999999999
61,761.2999999999997,763.3,762.2999999999998
62,0.5,0.6,0.55
63,900.8000000000004,916.4000000000005,908.6000000000005
64,65.5,62.9,64.2
65,196.79999999999993,204.9999999999999,200.89999999999992
66,747.6000000000001,753.6999999999998,750.65
67,528.1999999999999,503.6000000000001,515.9
68,106.09999999999997,104.09999999999997,105.09999999999997
69,1081.5000000000007,1064.6000000000004,1073.0500000000006
70,1102.3000000000004,1085.6000000000004,1093.9500000000003
71,481.29999999999956,480.7999999999996,481.0499999999996
72,45.1,46.600000000000016,45.85000000000001
73,369.49999999999994,375.7999999999999,372.6499999999999
74,9.6,9.7,9.649999999999999
75,545.7999999999997,533.0999999999997,539.4499999999997
76,320.69999999999976,320.9999999999997,320.84999999999974
77,848.5,857.0999999999999,852.8
78,70.19999999999999,67.10000000000001,68.65
79,53.1,55.699999999999996,54.4
80,211.4,218.10000000000002,214.75
81,669.3000000000001,650.3999999999999,659.8499999999999
82,630.4999999999999,613.7999999999996,622.1499999999997
83,247.00000000000006,251.6,249.3
84,108.99999999999997,107.5,108.24999999999999
85,803.7999999999998,779.4999999999997,791.6499999999997
86,38.400000000000006,35.800000000000004,37.10000000000001
87,1.5000000000000002,2.1,1.8000000000000003
88,552.5000000000005,575.1000000000005,563.8000000000004
89,33.900000000000006,33.7,33.800000000000004
90,485.20000000000005,485.4999999999999,485.34999999999997
91,20.200000000000006,18.900000000000002,19.550000000000004
92,424.5000000000005,387.6000000000006,406.0500000000005
93,391.79999999999995,384.2,388.0
94,694.6999999999999,720.7999999999996,707.7499999999998
95,346.7999999999999,344.3,345.54999999999995
96,297.19999999999993,305.90000000000003,301.54999999999995
97,121.90000000000003,118.19999999999997,120.05000000000001
98,176.90000000000006,161.89999999999998,169.40000000000003
99,450.3,411.50000000000017,430.9000000000001
100,1005.9,1032.0,1018.95
101,811.2999999999998,784.8999999999997,798.0999999999998
102,994.6999999999996,990.2999999999997,992.4999999999997
103,366.6,363.00000000000006,364.80000000000007
104,7.999999999999997,8.299999999999997,8.149999999999997
105,493.3,454.8000000000001,474.05000000000007
106,776.2999999999996,794.0999999999999,785.1999999999998
107,931.8999999999993,955.8999999999997,943.8999999999995
108,1062.8999999999996,1098.6999999999996,1080.7999999999997
109,158.8000000000001,163.00000000000009,160.9000000000001
110,87.30000000000001,87.1,87.2
111,563.6999999999999,642.8000000000001,603.25
112,629.5999999999998,608.8,619.1999999999998
113,280.30000000000007,276.4000000000001,278.3500000000001
114,24.8,40.900000000000006,32.85
115,316.9,320.7999999999999,318.8499999999999
116,288.80000000000007,269.1999999999999,279.0
117,37.30000000000002,34.20000000000001,35.750000000000014
118,11.399999999999999,9.699999999999998,10.549999999999997
119,17.799999999999997,19.700000000000003,18.75
120,145.39999999999992,149.19999999999985,147.2999999999999
121,471.2999999999996,472.3999999999996,471.84999999999957
122,337.9999999999998,333.6999999999998,335.8499999999998
123,43.1,42.800000000000004,42.95
124,28.799999999999997,28.499999999999993,28.649999999999995
125,187.19999999999993,184.89999999999992,186.04999999999993
126,1.3,2.0000000000000004,1.6500000000000004
127,0.8999999999999999,0.7,0.7999999999999999
128,334.7999999999997,331.9999999999997,333.39999999999975
129,273.2999999999999,275.7999999999999,274.5499999999999
130,10.799999999999999,11.599999999999998,11.2
131,215.79999999999993,218.39999999999998,217.09999999999997
132,392.39999999999986,393.0999999999997,392.7499999999998
133,73.60000000000001,68.19999999999999,70.9
134,3.3000000000000007,1.5000000000000004,2.4000000000000004
